,id,school,abbreviation,nickname,mascot,full_name,classification,conference_id,conference,conference_division,home_venue_id,home_venue,venue_capacity,city,state,zip,country_code,location,elevation,wins,losses,enrollment,first_year,top_receiver_yards,smallest_venue_rank,largest_venue_rank,elevation_rank,wins_rank,losses_rank,enrollment_rank,oldest_rank,top_receiver_yards_rank,color,logo
0,164,Rutgers,RUTG,Rutgers,Scarlet Knights,Rutgers Scarlet Knights,fbs,5,Big Ten,,6577,SHI Stadium,52454,Piscataway,NJ,8854,US,"(40.5462553,-74.4660408)",52.0,681,701,"50,804",1869,3043,86,51,107,43,3,12,1,89,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
1,77,Northwestern,NU,Northwestern,Wildcats,Northwestern Wildcats,fbs,5,Big Ten,,3911,Ryan Field,47130,Evanston,IL,60208,US,"(42.0653994,-87.6924751)",181.2376099,571,712,"23,410",1876,3128,74,63,75,89,2,81,2,77,#582c83,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
2,245,Texas A&M,TA&M,Texas A&M,Aggies,Texas A&M Aggies,fbs,8,SEC,,3795,Kyle Field,102733,College Station,TX,77843,US,"(30.6098891,-96.3403828)",108.824585,789,509,"74,014",1876,3117,133,4,94,15,69,1,3,82,#500000,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
3,113,Massachusetts,MASS,Massachusetts,Minutemen,Massachusetts Minutemen,fbs,15,Mid-American,,3985,Warren McGuirk Alumni Stadium,17000,Hadley,MA,1003,US,"(42.3773244,-72.5360595)",46.58664703,582,652,"30,285",1879,3526,5,132,108,79,13,56,4,55,#971B2F,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png
4,130,Michigan,MICH,Michigan,Wolverines,Michigan Wolverines,fbs,5,Big Ten,,3558,Michigan Stadium,107601,Ann Arbor,MI,48109,US,"(42.2658365,-83.7486956)",255.5500031,"1,015",359,"50,278",1879,3541,136,1,44,1,114,14,5,51,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
5,2426,Navy,NAVY,Navy,Midshipmen,Navy Midshipmen,fbs,151,American Athletic,,3852,Navy-Marine Corps Memorial Stadium,34000,Annapolis,MD,21402,US,"(38.9846985,-76.5076335)",10.74990082,751,603,"4,576",1879,1994,49,88,125,23,33,133,6,129,#00225b,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
6,96,Kentucky,UK,Kentucky,Wildcats,Kentucky Wildcats,fbs,8,SEC,,3683,Kroger Field,61000,Lexington,KY,40506,US,"(38.0220905,-84.5053408)",307.4248962,649,656,"33,885",1881,2889,98,39,31,51,12,48,7,105,#0033a0,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
7,213,Penn State,PSU,Penn State,Nittany Lions,Penn State Nittany Lions,fbs,5,Big Ten,,3632,Beaver Stadium,106572,University Park,PA,16802,US,"(40.8121958,-77.8561023)",354.1551514,946,412,"39,368",1881,3026,135,2,26,7,107,32,8,91,#041E42,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
8,25,California,CAL,California,Golden Bears,California Golden Bears,fbs,1,ACC,,3831,California Memorial Stadium,62467,Berkeley,CA,94720,US,"(37.8710434,-122.2507729)",125.3108063,701,576,"45,307",1882,3188,102,35,90,38,43,26,9,73,#031522,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
9,135,Minnesota,MINN,Minnesota,Golden Gophers,Minnesota Golden Gophers,fbs,5,Big Ten,,3953,Huntington Bank Stadium,50850,Minneapolis,MN,55488,US,"(44.976525,-93.2245462)",254.3902283,743,549,"54,890",1882,3119,82,55,46,26,52,8,10,81,#5e0a2f,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
