school,color,logo
Abilene Christian,#592d82,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png
Adams State,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png
Adrian,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2003.png
Air Force,#004a7b,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,#00285e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,#9e1632,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Alabama A&M,#790000,http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png
Alabama State,#e9a900,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png
Albany State GA,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2013.png
Albion,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2790.png
Albright,#c82e48,http://a.espncdn.com/i/teamlogos/ncaa/500/2015.png
Alcorn State,#4b0058,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png
Alderson-Broaddus,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png
Alfred State,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/3162.png
Alfred University,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/365.png
Allegheny,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2018.png
Allen,#null,
Alma,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2800.png
American International,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png
Amherst,#3f1f69,http://a.espncdn.com/i/teamlogos/ncaa/500/7.png
Anderson (IN),#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png
Anderson (Sc),#null,
Angelo State,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2025.png
Anna Maria College,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/15.png
Apprentice School,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png
Appalachian State,#ffcc00,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,#0c234b,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona State,#8e0c3a,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,#a41f35,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas-Monticello,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2028.png
Arkansas-Pine Bluff,#e0aa0f,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png
Arkansas State,#e81018,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Arkansas Tech,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png
Army,#ce9c00,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Ashland,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/308.png
Assumption,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2038.png
Auburn,#002b5c,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Augsburg,#74233d,http://a.espncdn.com/i/teamlogos/ncaa/500/124.png
Augustana (IL),#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2042.png
Augustana University (SD),#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2043.png
Aurora,#00549f,http://a.espncdn.com/i/teamlogos/ncaa/500/2044.png
Austin,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2045.png
Austin Peay,#8e0b0b,http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png
Averett,#012853,http://a.espncdn.com/i/teamlogos/ncaa/500/2047.png
Azusa Pacific,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2049.png
Baldwin Wallace,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/188.png
Ball State,#DA0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Bates,#a51e36,http://a.espncdn.com/i/teamlogos/ncaa/500/121.png
Baylor,#154734,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Beloit,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/266.png
Bemidji State,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/132.png
Benedict College,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/490.png
Benedictine University,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2283.png
Bentley,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2060.png
Berry College,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2757.png
Bethany (WV),#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2062.png
Bethel (MN),#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2802.png
Bethune-Cookman,#7b1831,http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png
Biddeford,#null,
Birmingham-Southern,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/3.png
Black Hills State,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2069.png
Bloomsburg,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png
Bluefield State,#null,
Bluffton,#46166a,http://a.espncdn.com/i/teamlogos/ncaa/500/2074.png
Boise State,#0033a0,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,#8c2232,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Bowdoin,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/340.png
Bowie State,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2075.png
Bowling Green,#2b1000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Brevard College,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2913.png
Bridgewater State,#bf2f38,http://a.espncdn.com/i/teamlogos/ncaa/500/18.png
Bridgewater (VA),#990022,http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png
Brockport,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2781.png
Brown,#411e09,http://a.espncdn.com/i/teamlogos/ncaa/500/225.png
Bryant,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png
Bucknell,#000060,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png
Buena Vista,#feba12,http://a.espncdn.com/i/teamlogos/ncaa/500/63.png
Buffalo,#041A9B,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
Buffalo State,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2085.png
Butler,#0d1361,http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png
BYU,#003da5,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
California,#031522,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
California Lutheran University,#3b2361,http://a.espncdn.com/i/teamlogos/ncaa/500/2094.png
Cal Poly,#1E4D2B,http://a.espncdn.com/i/teamlogos/ncaa/500/13.png
Calvin University,#null,
Campbell,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
Capital,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/424.png
Carleton,#173a79,http://a.espncdn.com/i/teamlogos/ncaa/500/2101.png
Carnegie Mellon,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2102.png
Carroll University (WI),#null,http://a.espncdn.com/i/teamlogos/ncaa/500/32.png
Carson-Newman College,#f2682a,http://a.espncdn.com/i/teamlogos/ncaa/500/2105.png
Carthage,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2106.png
Case Western Reserve,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2963.png
Castleton,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/293.png
Catawba,#0c233f,http://a.espncdn.com/i/teamlogos/ncaa/500/2107.png
Catholic,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2108.png
CENTENARY,#null,
Central Arkansas,#a7a9ac,http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png
Central College,#ea0029,http://a.espncdn.com/i/teamlogos/ncaa/500/2964.png
Central Connecticut,#1B49A2,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png
Central Michigan,#6a0032,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Central Missouri,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2118.png
Central Oklahoma,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2122.png
Central State (OH),#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2119.png
Central Washington,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2120.png
Centre College Kentucky,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2121.png
Chadron St,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2123.png
Chapman,#ab1d38,http://a.espncdn.com/i/teamlogos/ncaa/500/411.png
